FireTrt,EcoGrp,SizeClass,PlotSize,Count,Plot,Site
Unburnt,Eucalypt,<0.5m,360,32,1,Imalu
Unburnt,Eucalypt,0.5-1.5m,360,14,1,Imalu
Unburnt,Eucalypt,>1.5m,720,47,1,Imalu
Unburnt,Eucalypt,5-10DBH,1800,84,1,Imalu
Unburnt,Eucalypt,10-20DBH,1800,46,1,Imalu
Unburnt,Eucalypt,>20DBH,1800,13,1,Imalu
Unburnt,Acacia,<0.5m,360,8,1,Imalu
Unburnt,Acacia,0.5-1.5m,360,28,1,Imalu
Unburnt,Acacia,>1.5m,720,47,1,Imalu
Unburnt,Acacia,5-10DBH,1800,12,1,Imalu
Unburnt,Acacia,10-20DBH,1800,1,1,Imalu
Unburnt,Acacia,>20DBH,1800,0,1,Imalu
Unburnt,Pantropical,<0.5m,360,65,1,Imalu
Unburnt,Pantropical,0.5-1.5m,360,7,1,Imalu
Unburnt,Pantropical,>1.5m,720,35,1,Imalu
Unburnt,Pantropical,5-10DBH,1800,61,1,Imalu
Unburnt,Pantropical,10-20DBH,1800,3,1,Imalu
Unburnt,Pantropical,>20DBH,1800,0,1,Imalu
Unburnt,Proteaceae,<0.5m,360,17,1,Imalu
Unburnt,Proteaceae,0.5-1.5m,360,3,1,Imalu
Unburnt,Proteaceae,>1.5m,720,41,1,Imalu
Unburnt,Proteaceae,5-10DBH,1800,11,1,Imalu
Unburnt,Proteaceae,10-20DBH,1800,0,1,Imalu
Unburnt,Proteaceae,>20DBH,1800,0,1,Imalu
Unburnt,Eucalypt,<0.5m,360,7,2,Shark Bay
Unburnt,Eucalypt,0.5-1.5m,360,7,2,Shark Bay
Unburnt,Eucalypt,>1.5m,720,17,2,Shark Bay
Unburnt,Eucalypt,5-10DBH,1800,80,2,Shark Bay
Unburnt,Eucalypt,10-20DBH,1800,32,2,Shark Bay
Unburnt,Eucalypt,>20DBH,1800,14,2,Shark Bay
Unburnt,Acacia,<0.5m,360,7,2,Shark Bay
Unburnt,Acacia,0.5-1.5m,360,4,2,Shark Bay
Unburnt,Acacia,>1.5m,720,30,2,Shark Bay
Unburnt,Acacia,5-10DBH,1800,32,2,Shark Bay
Unburnt,Acacia,10-20DBH,1800,2,2,Shark Bay
Unburnt,Acacia,>20DBH,1800,0,2,Shark Bay
Unburnt,Pantropical,<0.5m,360,14,2,Shark Bay
Unburnt,Pantropical,0.5-1.5m,360,16,2,Shark Bay
Unburnt,Pantropical,>1.5m,720,237,2,Shark Bay
Unburnt,Pantropical,5-10DBH,1800,56,2,Shark Bay
Unburnt,Pantropical,10-20DBH,1800,0,2,Shark Bay
Unburnt,Pantropical,>20DBH,1800,0,2,Shark Bay
Unburnt,Proteaceae,<0.5m,360,0,2,Shark Bay
Unburnt,Proteaceae,0.5-1.5m,360,0,2,Shark Bay
Unburnt,Proteaceae,>1.5m,720,6,2,Shark Bay
Unburnt,Proteaceae,5-10DBH,1800,3,2,Shark Bay
Unburnt,Proteaceae,10-20DBH,1800,0,2,Shark Bay
Unburnt,Proteaceae,>20DBH,1800,0,2,Shark Bay
Unburnt,Eucalypt,<0.5m,360,14,3,Shark Bay
Unburnt,Eucalypt,0.5-1.5m,360,25,3,Shark Bay
Unburnt,Eucalypt,>1.5m,720,51,3,Shark Bay
Unburnt,Eucalypt,5-10DBH,1800,79,3,Shark Bay
Unburnt,Eucalypt,10-20DBH,1800,34,3,Shark Bay
Unburnt,Eucalypt,>20DBH,1800,14,3,Shark Bay
Unburnt,Acacia,<0.5m,360,6,3,Shark Bay
Unburnt,Acacia,0.5-1.5m,360,13,3,Shark Bay
Unburnt,Acacia,>1.5m,720,32,3,Shark Bay
Unburnt,Acacia,5-10DBH,1800,15,3,Shark Bay
Unburnt,Acacia,10-20DBH,1800,1,3,Shark Bay
Unburnt,Acacia,>20DBH,1800,0,3,Shark Bay
Unburnt,Pantropical,<0.5m,360,16,3,Shark Bay
Unburnt,Pantropical,0.5-1.5m,360,26,3,Shark Bay
Unburnt,Pantropical,>1.5m,720,104,3,Shark Bay
