year,tag,site,treatment,species,ecoGrp,height,heightNext,diam,diamNext,canopyCover,shrubCover,grassCover,green,scorchHt,resprout,died
1,7,Taracumbi,Annual,Alate,Acacia,387,0,3.5,NA,0.169482422,NA,NA,No,400,Basal,No
1,15,Taracumbi,Annual,Alate,Acacia,93.5,0,NA,NA,0.217578125,30,20,No,200,None,Yes
1,2,Shark Bay A,Annual,Etetr,Eucalypt,454,483.1,4.6,5.5,0.346386719,13.5,1.5,Yes,0,Epicormic,No
2,2,Shark Bay A,Annual,Etetr,Eucalypt,483.1,514,5.5,5.2,0.346386719,13.5,1.5,Yes,180,Epicormic,No
1,27,Pikertaramoor,Annual,Bmega,Pantropical,16.5,0,NA,NA,0.249527995,NA,NA,No,100,Basal,No
1,2269,Shark Bay C,Annual,Alate,Acacia,195.5,0,1.5,NA,0.369033203,2.5,2.5,No,240,Basal,Yes
1,901,Pikertaramoor,Annual,Bmega,Pantropical,13.5,15,NA,NA,0.250120443,NA,NA,No,150,Basal,No
1,944,Shark Bay B,Annual,Pcare,Pantropical,16.5,15,NA,NA,0.267117169,4.5,10.5,No,175,None,No
1,1,Pikertaramoor,Annual,Bmega,Pantropical,13.5,18,NA,NA,0.205003255,NA,NA,No,140,Basal,No
1,773,Shark Bay B,Annual,Bobov,Pantropical,46.5,21,NA,NA,0.486560105,0,75,No,290,Basal,No
1,8,Shark Bay A,Annual,Alate,Acacia,149.5,80,NA,NA,0.355924479,12,8,Yes,50,Basal,No
1,8,Shark Bay A,Annual,Alate,Acacia,149.5,80,NA,NA,0.355924479,12,8,Yes,50,Basal,No
2,9,Shark Bay A,Annual,Pcare,Pantropical,50,75,1,0.6,0.455192057,0,1,Yes,0,Both,No
1,9,Shark Bay A,Annual,Pcare,Pantropical,66,50,NA,1,0.455192057,0,1,Yes,0,Basal,No
2,10,Shark Bay A,Annual,Etetr,Eucalypt,89,121,NA,0.5,0.527441406,9,1,Yes,0,None,No
2,901,Pikertaramoor,Annual,Bmega,Pantropical,15,21.5,NA,NA,0.250120443,NA,NA,No,1000,Basal,No
1,12,Shark Bay A,Annual,Cneso,Eucalypt,96.5,132,NA,NA,0.435009766,0,5,Yes,0,None,No
2,937,Pikertaramoor,Annual,Pcare,Pantropical,44,22,NA,NA,0.399944661,NA,NA,No,1200,Basal,No
1,13,Shark Bay A,Annual,Tferd,Pantropical,103.5,123,1.2,NA,0.307682292,3,2,Yes,80,None,No
2,13,Shark Bay A,Annual,Tferd,Pantropical,123,149.5,NA,1.3,0.307682292,3,2,Yes,0,None,No
1,2277,Shark Bay C,Annual,Tferd,Pantropical,19,22,NA,NA,0.321416016,22.75,12.25,No,70,Epicormic,No
1,677,Taracumbi,Annual,Bobov,Pantropical,15.5,24,NA,NA,0.335104167,40,10,No,200,Basal,No
1,775,Shark Bay B,Annual,Tferd,Pantropical,31.5,24,NA,NA,0.445344387,65,0,No,200,Basal,No
1,978,Pikertaramoor,Annual,Cneso,Eucalypt,34.5,24,NA,NA,0.334912109,NA,NA,No,220,Basal,No
2,795,Shark Bay B,Annual,Etetr,Eucalypt,46,25,NA,NA,0.139655596,2.75,52.25,No,250,None,No
